id,name_en,name_ru
120,"Corn, dried (Navajo)",
121,"Squash, Indian, cooked, boiled (Navajo)",
122,"Bread, kneel down (Navajo)",
123,"Mutton, cooked, roasted (Navajo)",
124,"Frybread, made with lard (Navajo)",
125,Tamales (Navajo),
126,"Stew, steamed corn (Navajo)",
127,"Fish, halibut, raw, with skin (Alaska Native)",
128,"Fish, salmon, coho (silver), raw (Alaska Native)",
129,"Blueberries, wild, raw (Alaska Native)",
130,"Oil, spotted seal (Alaska Native)",
131,"Fish, salmon, red, canned, bones removed (Alaska Native)",
132,"Fish, whitefish, eggs (Alaska Native)",
133,"Caribou, rump meat, half dried (Alaska Native)",
134,"Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)",
135,"Fish, salmon, red, (sockeye), kippered (Alaska Native)",
136,"Fish, salmon, king, with skin, kippered, (Alaska Native)",
137,"Fish, sheefish, raw (Alaska Native)",
138,"Buffalo, free range, top round steak, raw (Shoshone Bannock)",
139,"Seal, bearded (Oogruk), meat, partially dried (Alaska Native)",
140,"Buffalo, free range, top round steak, cooked (Shoshone Bannock)",
141,"Elk, free range, roast, eye of round, raw (Shoshone Bannock)",
142,"Corn, dried, yellow (Northern Plains Indians)",
143,"Smelt, dried (Alaska Native)",
144,"Frybread, made with lard (Apache)",
145,Corned beef and potatoes in tortilla (Apache),
146,"ON THE BORDER, soft taco with ground beef, cheese and lettuce",
147,"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",
148,"Restaurant, Latino, chicken and rice, entree, prepared",
149,"Restaurant, Latino, empanadas, beef, prepared",
150,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",
151,"Restaurant, Latino, pupusas con queso (pupusas, cheese)",
152,"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",
153,"Restaurant, Latino, tamale, corn",
154,"Restaurant, Mexican, spanish rice",
155,"Restaurant, Mexican, refried beans",
156,"Restaurant, Chinese, egg rolls, assorted",
157,"Restaurant, Chinese, fried rice, without meat",
158,"CRACKER BARREL, steak fries",
159,"CRACKER BARREL, grilled sirloin steak",
160,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",
161,"DENNY'S, french fries",
162,"DENNY'S, top sirloin steak",
163,"Restaurant, Chinese, lemon chicken",
164,"Restaurant, Chinese, general tso's chicken",
165,"Restaurant, Chinese, kung pao chicken",
166,"Restaurant, Chinese, vegetable lo mein, without meat",
167,"Restaurant, Chinese, chicken and vegetables",
168,"Restaurant, Chinese, orange chicken",
169,"Restaurant, Italian, spaghetti with meat sauce",
170,"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",
171,"Pectin, liquid",
172,"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",
173,"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",
174,"Bologna, beef and pork, low fat",
175,"Milk dessert, frozen, milk-fat free, chocolate",
176,"Whipped topping, frozen, low fat",
177,"Cream substitute, powdered, light",
178,"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",
179,"Babyfood, apple yogurt dessert, strained",
180,"Vegetable oil-butter spread, reduced calorie",
181,"Salad dressing, blue or roquefort cheese dressing, light",
182,"Salad dressing, french dressing, reduced calorie",
183,"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",
184,"Mayonnaise, made with tofu",
185,"Frankfurter, beef, low fat",
186,"Milk, buttermilk, fluid, cultured, reduced fat",
187,"Pork sausage rice links, brown and serve, cooked",
188,"Salad dressing, blue or roquefort cheese dressing, fat-free",
189,"Salad Dressing, mayonnaise-like, fat-free",
190,"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",
191,"Oil, flaxseed, cold pressed",
192,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",
193,"Salad dressing, bacon and tomato",
194,"Cheese, parmesan, low sodium",
195,"Jams, preserves, marmalade, reduced sugar",
196,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",
197,"Tomato and vegetable juice, low sodium",
198,"Turkey, wing, smoked, cooked, with skin, bone removed",
199,"Turkey, drumstick, smoked, cooked, with skin, bone removed",
200,"Beverages, Chocolate-flavored drink, whey and milk based",
201,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",
202,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",
203,"Hearts of palm, raw",
204,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",
205,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",
206,Yeast extract spread,
207,"Babyfood, juice, pear",
208,"Chicken, meatless, breaded, fried",
209,"Babyfood, meat, beef with vegetables, toddler",
210,"Frozen novelties, juice type, juice with cream",
211,Tofu yogurt,
212,"Alcoholic beverage, rice (sake)",
213,"Millet, puffed",
214,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",
215,"Babyfood, mixed fruit yogurt, strained",
216,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",
217,"Babyfood, rice and apples, dry",
218,"Babyfood, juice, apple - cherry",
219,"Milk, imitation, non-soy",
220,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",
221,"Babyfood, banana no tapioca, strained",
222,"Babyfood, banana apple dessert, strained",
223,"Breakfast bar, corn flake crust with fruit",
224,"Cheese, mozzarella, low sodium",
225,"Mayonnaise dressing, no cholesterol",
226,"Oil, corn, peanut, and olive",
227,"Pie fillings, blueberry, canned",
228,"Beverages, Cocktail mix, non-alcoholic, concentrated, frozen",
229,"Puddings, chocolate flavor, low calorie, regular, dry mix",
230,"Puddings, all flavors except chocolate, low calorie, regular, dry mix",
231,"Mollusks, scallop, (bay and sea), cooked, steamed",
232,"Syrup, Cane",
233,"Mollusks, snail, raw",
234,"Turtle, green, raw",
235,"Lemons, raw, without peel",
236,"Lemon juice, raw",
237,"Lemon juice from concentrate, canned or bottled",
238,"Lemon peel, raw",
239,"Prickly pears, raw",
240,"Plums, dried (prunes), stewed, without added sugar",
241,"Plums, dried (prunes), stewed, with added sugar",
242,"Prune juice, canned",
243,"Pummelo, raw",
244,"Raspberries, raw",
245,"Raspberries, canned, red, heavy syrup pack, solids and liquids",
246,"Raspberries, frozen, red, sweetened",
247,"Rhubarb, raw",
248,"Sapodilla, raw",
249,"Sapote, mamey, raw",
250,"Soursop, raw",
251,"Strawberries, raw",
252,"Tamarinds, raw",
253,"Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids",
254,"Watermelon, raw",
255,"Maraschino cherries, canned, drained",
256,"Pineapple, canned, juice pack, drained",
257,"Apricots, canned, heavy syrup, drained",
258,"Cherries, sour, canned, water pack, drained",
259,"Cherries, sweet, canned, pitted, heavy syrup, drained",
260,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",
261,"Applesauce, canned, unsweetened, with added ascorbic acid",
262,"Applesauce, canned, sweetened, with salt",
263,"Grapefruit juice, pink, raw",
264,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",
265,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",
266,"Pears, raw, red anjou",
267,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",
268,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",
269,Prune puree,
270,Candied fruit,
271,"Abiyuch, raw",
272,"Rowal, raw",
273,"Guava nectar, canned, with added ascorbic acid",
274,"Mango nectar, canned",
275,"Tamarind nectar, canned",
276,"Pomegranate juice, bottled",
277,"Nance, canned, syrup, drained",
278,"Nance, frozen, unsweetened",
279,"Naranjilla (lulo) pulp, frozen, unsweetened",
280,Horned melon (Kiwano),
281,Orange Pineapple Juice Blend,
282,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",
283,"Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E",
